Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
4859,150814101,Condenatoria,Hombre,37
24934,150914885,Condenatoria,Mujer,47
16852,150916539,Condenatoria,Hombre,30
5505,150964799,Condenatoria,Hombre,21
4712,150983572,Condenatoria,Hombre,28
5687,151049848,Condenatoria,Hombre,35
26174,151073670,Condenatoria,Hombre,36
3692,151075163,Condenatoria,Hombre,29
26175,151075855,Condenatoria,Hombre,36
8782,151079786,Condenatoria,Hombre,35
969,151099665,Condenatoria,Hombre,39
17716,151159874,Condenatoria,Hombre,23
20236,151213965,Condenatoria,Hombre,30
19886,151276394,Condenatoria,Mujer,52
19519,151326416,Condenatoria,Hombre,62
16818,151354870,Condenatoria,Hombre,29
28154,151355324,Condenatoria,Hombre,28
24370,151355324,Condenatoria,Hombre,28
20978,151355336,Condenatoria,Hombre,45
5732,151393287,Condenatoria,Hombre,22
12811,151393446,Condenatoria,Hombre,40
7910,151412306,Condenatoria,Hombre,34
2696,151419219,Condenatoria,Hombre,21
